date,census_district_name,census_state_name,commodity_name,min_price,max_price,modal_price
2023-09-16,Sultanpur,UTTAR PRADESH,Rice,2600.0,2700.0,2650.0
2023-01-27,Rae Bareli,UTTAR PRADESH,Rice,2500.0,2530.0,2515.0
2023-08-26,Balrampur,UTTAR PRADESH,Rice,2560.0,2780.0,2680.0
2023-09-06,Ahmadnagar,MAHARASHTRA,Wheat,2400.0,2671.0,2526.0
2023-01-11,Bahraich,UTTAR PRADESH,Wheat,2640.0,2700.0,2670.0
2023-05-29,Rampur,UTTAR PRADESH,Rice,2660.0,2720.0,2685.0
2023-08-23,Amravati,MAHARASHTRA,Wheat,2400.0,2575.0,2487.0
2023-10-10,Shimoga,KARNATAKA,Rice,1900.0,2700.0,2250.0
2023-05-27,Hamirpur,UTTAR PRADESH,Rice,2500.0,2600.0,2560.0
2023-10-06,Budaun,UTTAR PRADESH,Rice,2780.0,2860.0,2820.0
2023-08-22,Neemuch ,MADHYA PRADESH,Wheat,2370.0,2741.0,2540.0
2023-02-17,Paschim Medinipur,WEST BENGAL,Rice,3300.0,3500.0,3400.0
2023-05-31,Gwalior,MADHYA PRADESH,Wheat,2190.0,2285.0,2240.0
2023-06-17,North Tripura,TRIPURA,Rice,3200.0,3400.0,3300.0
2023-06-06,Jalgaon,MAHARASHTRA,Wheat,2251.0,2600.0,2600.0
2023-03-30,Nadia ,WEST BENGAL,Rice,2200.0,2600.0,2400.0
2023-12-04,Aligarh,UTTAR PRADESH,Rice,2930.0,2970.0,2950.0
2023-01-03,Kheda,GUJARAT,Wheat,2400.0,2450.0,2425.0
2023-08-28,Nadia ,WEST BENGAL,Rice,2200.0,2600.0,2400.0
2023-06-16,Seoni,MADHYA PRADESH,Wheat,2110.0,2110.0,2110.0
2023-11-28,Amreli,GUJARAT,Wheat,2505.0,2830.0,2715.0
2023-01-17,Bara Banki,UTTAR PRADESH,Wheat,2750.0,2810.0,2780.0
2023-03-01,Bharuch,GUJARAT,Rice,3200.0,3600.0,3400.0
2023-06-12,Rae Bareli,UTTAR PRADESH,Wheat,2150.0,2275.0,2200.0
2023-10-20,Bidar,KARNATAKA,Rice,4800.0,6200.0,5800.0
2023-06-26,Idukki ,KERALA,Rice,3800.0,4000.0,4000.0
2023-02-26,Hardoi,UTTAR PRADESH,Wheat,2250.0,2350.0,2300.0
2023-09-30,Hardoi,UTTAR PRADESH,Wheat,2300.0,2350.0,2315.0
2023-10-19,Nagpur,MAHARASHTRA,Wheat,2411.0,2581.0,2500.0
2023-12-22,Kanshiram Nagar,UTTAR PRADESH,Rice,2750.0,3400.0,3090.0
2023-08-26,Khargone (West Nimar),MADHYA PRADESH,Wheat,2480.0,2771.0,2520.0
2023-04-26,Hamirpur,UTTAR PRADESH,Wheat,2125.0,2125.0,2125.0
2023-03-26,Ahmadnagar,MAHARASHTRA,Wheat,1900.0,2100.0,2000.0
2023-12-14,Mandsaur,MADHYA PRADESH,Wheat,2390.0,2805.0,2597.0
2023-09-01,Jaunpur,UTTAR PRADESH,Rice,2600.0,2660.0,2635.0
2023-08-12,Bhilwara,RAJASTHAN,Wheat,2300.0,2400.0,2350.0
2023-03-13,Kheri,UTTAR PRADESH,Wheat,2000.0,2080.0,2020.0
2023-06-30,Mathura,UTTAR PRADESH,Rice,2820.0,3020.0,2910.0
2023-09-13,Barddhaman ,WEST BENGAL,Rice,2900.0,3250.0,3050.0
2023-03-28,Uttar Dinajpur,WEST BENGAL,Wheat,2800.0,3000.0,2900.0
2023-08-18,Chhatarpur,MADHYA PRADESH,Wheat,2210.0,2400.0,2300.0
2023-05-26,Solapur,MAHARASHTRA,Wheat,2131.0,2751.0,2500.0
2023-06-02,Budaun,UTTAR PRADESH,Wheat,2180.0,2200.0,2190.0
2023-04-04,Sitapur,UTTAR PRADESH,Rice,2300.0,2350.0,2325.0
2023-11-06,Surendranagar,GUJARAT,Wheat,2000.0,2800.0,2400.0
2023-07-08,West Tripura ,TRIPURA,Rice,4800.0,4850.0,4820.0
2023-03-14,Ghazipur,UTTAR PRADESH,Wheat,2370.0,2430.0,2400.0
2023-08-29,Hardoi,UTTAR PRADESH,Wheat,2250.0,2350.0,2300.0
2023-03-17,Sehore,MADHYA PRADESH,Wheat,2471.0,3986.0,3525.0
2023-11-30,Dhalai,TRIPURA,Rice,3800.0,4000.0,3900.0
2023-04-26,Wardha,MAHARASHTRA,Wheat,2250.0,2650.0,2525.0
2023-06-05,Harda ,MADHYA PRADESH,Wheat,2100.0,2330.0,2280.0
2023-08-10,Paschim Medinipur,WEST BENGAL,Rice,3200.0,3400.0,3300.0
2023-01-12,Pilibhit,UTTAR PRADESH,Rice,2565.0,2645.0,2605.0
2023-12-19,Unnao,UTTAR PRADESH,Rice,2550.0,2650.0,2600.0
2023-12-20,Balrampur,UTTAR PRADESH,Rice,2560.0,2750.0,2640.0
2023-02-03,Nashik,MAHARASHTRA,Wheat,2780.0,3065.0,3065.0
2023-04-24,Hanumangarh,RAJASTHAN,Wheat,1975.0,2125.0,2000.0
2023-01-20,Sant Ravidas Nagar (Bhadohi),UTTAR PRADESH,Rice,2500.0,2560.0,2530.0
2023-07-27,Farrukhabad,UTTAR PRADESH,Wheat,2260.0,2280.0,2270.0
2023-11-21,Baran,RAJASTHAN,Wheat,2480.0,2760.0,2600.0
2023-06-26,Jhabua,MADHYA PRADESH,Wheat,2220.0,2220.0,2220.0
2023-02-01,Jabalpur,MADHYA PRADESH,Wheat,2571.0,2700.0,2640.0
2023-11-29,Ujjain,MADHYA PRADESH,Wheat,2144.0,2799.0,2714.0
2023-02-23,Moradabad,UTTAR PRADESH,Wheat,2580.0,2600.0,2590.0
2023-06-25,Basti,UTTAR PRADESH,Rice,2620.0,2720.0,2670.0
2023-11-03,Idukki ,KERALA,Rice,4600.0,5000.0,4800.0
2023-06-30,Bankura ,WEST BENGAL,Wheat,2600.0,2850.0,2800.0
2023-12-06,Nadia ,WEST BENGAL,Rice,4500.0,4650.0,4600.0
2023-08-05,Anand  ,GUJARAT,Wheat,2000.0,2440.0,2225.0
2023-04-20,Sehore,MADHYA PRADESH,Wheat,1900.0,2500.0,2341.0
2023-01-21,Aurangabad,MAHARASHTRA,Wheat,2700.0,3060.0,2900.0
2023-05-08,Auraiya,UTTAR PRADESH,Wheat,2100.0,2150.0,2130.0
2023-02-06,Deoria,UTTAR PRADESH,Rice,2660.0,2680.0,2670.0
2023-02-28,Neemuch ,MADHYA PRADESH,Wheat,1940.0,2600.0,2200.0
2023-09-11,Sundargarh,ODISHA,Rice,4000.0,4000.0,4000.0
2023-05-12,Darjiling ,WEST BENGAL,Rice,4500.0,5500.0,5000.0
2023-01-16,Budaun,UTTAR PRADESH,Rice,2600.0,2700.0,2630.0
2023-03-07,South West,NCT OF DELHI,Wheat,2690.0,2690.0,2690.0
2023-03-18,Kheri,UTTAR PRADESH,Rice,2140.0,2200.0,2170.0
2023-02-23,Ujjain,MADHYA PRADESH,Wheat,1980.0,2200.0,2150.0
2023-02-08,Deoria,UTTAR PRADESH,Wheat,2760.0,2775.0,2770.0
2023-10-15,Mayurbhanj,ODISHA,Rice,2800.0,3100.0,2800.0
2023-05-06,Tarn Taran,PUNJAB,Wheat,2125.0,2125.0,2125.0
2023-05-09,Sheikhpura,BIHAR,Wheat,2150.0,2250.0,2200.0
2023-11-17,Alwar,RAJASTHAN,Wheat,2400.0,2474.0,2455.0
2023-08-07,Ratlam,MADHYA PRADESH,Wheat,2000.0,3081.0,2880.0
2023-10-02,Farrukhabad,UTTAR PRADESH,Wheat,2250.0,2350.0,2310.0
2023-09-28,Kanpur Nagar,UTTAR PRADESH,Wheat,2370.0,2470.0,2420.0
2023-08-25,Purba Medinipur,WEST BENGAL,Rice,3800.0,4000.0,3900.0
2023-11-06,Jalaun ,UTTAR PRADESH,Wheat,2433.0,2433.0,2433.0
2023-07-21,Ganganagar ,RAJASTHAN,Wheat,2000.0,2180.0,2160.0
2023-12-17,Fatehpur,UTTAR PRADESH,Wheat,2425.0,2500.0,2460.0
2023-05-11,Bhavnagar,GUJARAT,Wheat,2135.0,3580.0,2860.0
2023-10-25,Bareilly,UTTAR PRADESH,Rice,2670.0,2695.0,2685.0
2023-08-07,Jyotiba Phule Nagar,UTTAR PRADESH,Wheat,2330.0,2350.0,2340.0
2023-07-13,Raisen,MADHYA PRADESH,Wheat,2125.0,2330.0,2175.0
2023-12-22,Sonbhadra,UTTAR PRADESH,Rice,2630.0,2850.0,2740.0
2023-03-14,Ahmadnagar,MAHARASHTRA,Wheat,1800.0,2300.0,2100.0
2023-08-12,West Tripura ,TRIPURA,Rice,2700.0,3000.0,2800.0
2023-06-08,Panna,MADHYA PRADESH,Wheat,2300.0,2300.0,2300.0
2023-02-28,Nashik,MAHARASHTRA,Wheat,2080.0,2491.0,2190.0
2023-11-03,Shajapur,MADHYA PRADESH,Wheat,1975.0,2490.0,2280.0
2023-04-18,Hanumangarh,RAJASTHAN,Wheat,1950.0,2071.0,2041.0
2023-07-21,Ganganagar ,RAJASTHAN,Wheat,1800.0,2149.0,2135.0
2023-08-10,Banas Kantha,GUJARAT,Wheat,2255.0,2255.0,2255.0
2023-05-14,Guna,MADHYA PRADESH,Wheat,1925.0,2470.0,2090.0
2023-03-04,Pilibhit,UTTAR PRADESH,Wheat,2410.0,2500.0,2460.0
2023-04-27,Buldana,MAHARASHTRA,Wheat,2005.0,2770.0,2290.0
2023-08-28,Gandhinagar,GUJARAT,Wheat,2450.0,2525.0,2500.0
2023-02-07,Washim,MAHARASHTRA,Wheat,1900.0,2560.0,2200.0
2023-09-26,Gonda,UTTAR PRADESH,Wheat,2360.0,2390.0,2375.0
